,prayer,create_date,answer_date,category,up_vote
304,Hike with Jason this morning. Guide us and keep us safe. What do we want to talk about? , 17-Jan-2023, 18-Jan-2023,family ,
305,"Thank You, Lord, for my phone conversation with Karli yesterday about drugs and addiction. Thank You for Kimberly being drug and alcohol free, and its example for Karli. ", 17-Jan-2023, 30-Jan-2023,family ,
306,"Lord, thank You for Pastor Ryan and his sharing with us. Bless him and his family. Guard and keep his daughter as she navigates school. ", 16-Jan-2023, 19-Jan-2023,brothers and sisters ,
307,Guide me and my feet as I  hike in the wet this morning. , 16-Jan-2023, 17-Jan-2023,me,
308,Help me prepare my list in preparation for my Trico interview., 16-Jan-2023, 18-Jan-2023,me,
309,"Lord, I cry out for my buddy Mike Smith, his wife Lynne, and his children Sarah and Brian and his family. You can change their lives. Help me stay in relationship and be friends, love them, and stay connected. Lord, please draw them to You and save them. ", 16-Jan-2023,,friends ,
310,I want to worship You in Spirit and Truth today. May we glorify You. Work in the hearts and minds of people in the service today. , 15-Jan-2023, 16-Jan-2023,casas,
311,How can I connect with Karli to help her learn important truths? I think about that podcast about drug addiction. I think about sex and how it distorts relationship development. I think about the work that Karli will do for her life. I think about the Truth Your Word and how to get Karli to know You and understand. , 15-Jan-2023, 17-Jan-2023,family ,
312,"Lord Jesus, help me with everything that I am doing this week. Unloading the van and getting it ready for the body shop. Working with Josh. Trico interview. Van damage inspection by Progressive. Trip to body shop. Worship Team rehearsal and stage captain. ", 14-Jan-2023, 19-Jan-2023,me,
313,"Feeling a bit strange, like I am getting ill. Lord, help me get over this quickly so I can attend to things. Thank You Lord. ", 14-Jan-2023, 15-Jan-2023,me,
314,Guide Josh and Casas through the process of ending Ahern's employment. Protect Casas and CCS from retaliation and lawsuit. , 13-Jan-2023, 23-Jan-2023,casas,
315,Bless and guide Mr. Ahern as he goes through the process of letting him go. Help him understand and accept. , 13-Jan-2023, 23-Jan-2023,casas,
316,Prepare me for my Trico interview. Give me the words. Give me confidence., 13-Jan-2023, 18-Jan-2023,me,
317,Help me process the Trico reading material in preparation for my interview , 12-Jan-2023, 13-Jan-2023,me,
318,Help me help Josh as we have our work session to plan for process Improvements. , 12-Jan-2023, 18-Jan-2023,casas,
319,"Help Christopher's efforts to find healing yield results, like his infrared sauna ", 12-Jan-2023, 01-Mar-2023,friends ,
320,"Help Lauren, Matt, Tom, and Diane as they grieve the passing of Donna", 12-Jan-2023,,brothers and sisters ,
321,Safe travels and a great time visiting Shiner brewery , 11-Jan-2023, 12-Jan-2023,us,
322,Bless Tom Avery with the finance job that he seeks , 11-Jan-2023, 10-Mar-2023,friends ,
323,Show Glenn's brother in law Matt the best way , 10-Jan-2023,,brothers and sisters ,
324,Guide Chandler to the place that You want him to be , 10-Jan-2023,,brothers and sisters ,
325,Guide Glenn and Angie in dealing with their brother in law Matt, 10-Jan-2023,,brothers and sisters ,
326,Lord help me give the best guidance to Kim about her housing steps , 10-Jan-2023, 17-Jan-2023,family ,
327,Lord help Casas hire the best financial person , 10-Jan-2023, 14-Mar-2023,casas,
328,Help me communicate with Myles about the next steps for working with Josh , 10-Jan-2023, 11-Jan-2023,casas,
329,Lord help Kim navigate through the maze of county and local government with her home building , 10-Jan-2023,,family ,
330,Lord show Kim the way forward with the mobile home purchase , 10-Jan-2023, 11-Jan-2023,family ,
331,Help me recognize my triggers before they happen so I can understand what's going on in me and choose my response , 08-Jan-2023,,me,
332,Planning for our trip for the river cruise , 07-Jan-2023, 27-Jan-2023,us,
333,Safety and a great time together as we go to Winter Garden , 07-Jan-2023, 08-Jan-2023,,
334,Help Pastor Ben process my recommendation for freedom in Christ devotional , 07-Jan-2023, 11-Jan-2023,me,
335,Give me the words and help me through the Trico interview process , 07-Jan-2023, 19-Jan-2023,me,
336,"Lord, heal my nose bleeds ", 07-Jan-2023,,me,
337,Productive conversation with Kim about her feelings that I do not help her, 06-Jan-2023,,family ,
338,"Fixing the rear doors of the van, which body shop? ", 06-Jan-2023, 14-Jan-2023,me,
339,Christopher feels well enough to visit with us, 06-Jan-2023, 11-Jan-2023,friends ,
340,Safe travels home, 06-Jan-2023, 14-Jan-2023,us,
341,"Casas Council meeting Monday ; help me report out in a meaningful way, give me a great Zoom connection ", 06-Jan-2023, 11-Jan-2023,casas,
342,"Bring Mike and Lynne and their family Sarah, Brian, and Courtney to You, Lord.", 01-Jan-2023,,friends ,
343,Keep us safe and healthy during our Florida trip , 22-Dec-2022, 14-Jan-2023,us,
344,Keep the van operating well throughout our trip , 22-Dec-2022, 14-Jan-2023,us,
345,Robin feels great throughout our travel to Florida and back , 22-Dec-2022, 14-Jan-2023,robin ,
346,Preparing the van and all else for our Florida trip , 22-Dec-2022, 01-Jan-2023,us,
347,"Kris and Lisa, guide them to Christmas at Casas and do something amazing in their lives ", 22-Dec-2022, 25-Dec-2022,friends ,
348,Petition signatures , 22-Dec-2022, 23-Dec-2022,me,
349,Christmas at Casas rehearsal and service; bless and protect those that serve and those that attend. Bring many., 21-Dec-2022, 25-Dec-2022,casas,
350,TRC strategy summary for Christopher in preparation for Kevin discussion , 21-Dec-2022, 22-Dec-2022,trc,
351,January 2023 devotional , 21-Dec-2022, 07-Jan-2023,me,
352,What is a good way to handle debug code? , 21-Dec-2022, 22-Dec-2022,me,
353,Get Trico petition app working and get signers , 21-Dec-2022, 23-Dec-2022,me,
354,Health and healing for Brittany's daughter (Elery?), 19-Dec-2022,,brothers and sisters ,
355,My_Prayers next step : database? , 19-Dec-2022, 20-Dec-2022,me,
356,"Driving to Orlando and meeting our friends Mike and Lynne, Christopher, and perhaps PB and Mel", 19-Dec-2022, 11-Jan-2023,us,
357,"This week: visit with Jim and Diane, dinner with Kris, Christmas at Laurie's and Robert's (meeting new people), Christmas at Casas rehearsal and service, getting ready for trip to Orlando ", 19-Dec-2022, 25-Dec-2022,friends ,
358,Safe travels and a great family visit for Diane. , 18-Dec-2022, 22-Jan-2023,brothers and sisters ,
359,Apply to become a Trico board member? , 18-Dec-2022, 21-Dec-2022,me,
360,Visit Pastor Ben and Mel while we are in Florida? , 18-Dec-2022, 03-Jan-2023,brothers and sisters ,
361,Safe travels and a meaningful time for Bob and Linda during their Christmas visit with their family. , 18-Dec-2022, 14-Jan-2023,friends ,
362,"Bless Bob and Linda Placzcik and their family. Draw them to You, Lord Jesus. ", 17-Dec-2022,,friends ,
363,Bob and Linda are coming over for baraco tonight! Help Bob and me with our change in strategy! May Robin and I reflect Your love in such a way that they want You. , 17-Dec-2022, 18-Dec-2022,friends ,
364,David Lopez and his family , 16-Dec-2022,,casas,
365,"Jesus, help me get continuous integration working ", 16-Dec-2022, 19-Dec-2022,me,
366,"Instead, be kind to each other, tenderhearted, forgiving one another, just as God through Christ has forgiven you.
Ephesians 4:32 NLT
https://bible.com/bible/116/eph.4.32.NLT I hurt my daughter Kimberly, acknowledge that and ask for her forgiveness ", 16-Dec-2022, 17-Dec-2022,family ,
367,"Let the morning bring me word of your unfailing love, for I have put my trust in you. Show me the way I should go, for to you I entrust my life.
Psalm 143:8 NIV
https://psalm.bible/psalm-143-8 
Jesus, guide me as I work with Casas Council and leadership to improve the incident response process.", 16-Dec-2022, 16-Feb-2023,casas,
368,Guide Josh to grow in leadership abilities; use me to help him., 15-Dec-2022,,casas,
369,Provide Myles with what he needs to be a great leader; use me to help him , 14-Dec-2022,,casas,
370,Working with Josh to plan process improvements , 14-Dec-2022, 18-Jan-2023,casas,
371,"Pain in my big toe, the ball of my right foot, what to do about it? Lord, guide me and heal me. ", 13-Dec-2022, 21-Dec-2022,me,
372,"Wisdom, clarity, and guidance for Myles as he leads the church team ", 13-Dec-2022,,casas,
373,"Lord Jesus, guide me as I seek to meet with Myles to talk about the CCS incident ", 13-Dec-2022, 14-Dec-2022,casas,
374,Sign up for HSM trip to Rocky Point?, 12-Dec-2022, 17-Jan-2023,family ,
375,Help me connect with Kim this week , 12-Dec-2022, 01-Jan-2023,family ,
376,"Sovereign Lord, thank You that You are in ultimate control of my life and of history. Thank You that through Jesus, I am assured of the ultimate triumph of good over evil. Help me to make a difference in Your plans to overcome evil with good.", 12-Dec-2022,,me,
377,"Help me love people as the intention for this week's activities: CCS AAR, Tucson Botanical Garden visit with Laurie and Robert, worship team Sunday rehearsal, Christmas at Casas rehearsal, small group dinner and study, creative cooking ", 12-Dec-2022, 19-Dec-2022,me,
378,Help me prepare for video directing this week , 12-Dec-2022, 18-Dec-2022,casas,
379,Drive to visit Kimberly and help her with the new RV?, 12-Dec-2022, 18-Dec-2022,family ,
380,"How do I show Kimberly that I love and support her? Lord, guide me to show Kimberly that I love her. Help Kimberly know that. It feels like I have to earn Kimberly's love, that it is conditional, based upon meeting her expectations.", 12-Dec-2022,,me,
381,"First video director assignment, Lord, help me!", 10-Dec-2022, 19-Dec-2022,me,
382,New campaign for sending coping-to-thriving emails , 07-Dec-2022, 14-Dec-2022,trc,
383,Restart dance practice with Robin? , 05-Dec-2022,,robin ,
384,"Much going on this week. Hiking with Laurie, Dave Weaver, Kit, Mavericks at the Fox, 4th Avenue Street Fair, TRC work, camera 1 for Christmas at Casas, collaboration with Christopher and Kevin, eye doctor, Cindy's knee surgery. Lord, help me love. ", 05-Dec-2022, 12-Dec-2022,me,
385,My hike today with Laurie. Talk about love and what is going on in our church. , 05-Dec-2022, 06-Dec-2022,family ,
386,"Holy Spirit, come upon Eliot and Kathy Brumberger and show them who Jesus is ", 04-Dec-2022,,friends ,
387,"Holy Spirit, come upon Dave and Kathy Weaver and show them who Jesus is ", 04-Dec-2022,,friends ,
388,What is my vision for the next phase of my life? For what has God prepared me? , 03-Dec-2022,,me,
389,Schedule and conduct of CCS AAR, 03-Dec-2022, 13-Dec-2022,casas ,
390,Replacing slings on patio chairs , 03-Dec-2022, 09-Mar-2023,me,
391,Diane's elderly friend , 03-Dec-2022, 27-Jan-2023,brothers and sisters ,
392,"Health, joy, and protection for Josh and Jenny Kempf and their family Embry (5), Haven (11), and Asher (13)", 02-Dec-2022,,brothers and sisters ,
393,Meeting Sunday for new cameras. Help us understand that this is all about You. , 01-Dec-2022, 06-Dec-2022,casas,
394,Small group dinner and fellowship tomorrow evening , 01-Dec-2022, 03-Dec-2022,brothers and sisters ,
395,Prepare and be with Cindy and her doctors for knee replacement surgery , 01-Dec-2022, 08-Dec-2022,brothers and sisters ,
396,Bring in a part time school counselor? , 29-Nov-2022, 23-Jan-2023,casas,
397,"Help me devise a plan for addressing the organizational problems of CCS. Can ACSI help do an organizational review? How do we build trust between school leadership, teachers, and students? ", 29-Nov-2022, 23-Jan-2023,casas,
398,My meeting with Josh Kempf to finalize the AAR plan and schedule. Ask Josh how I can best help him., 29-Nov-2022, 03-Dec-2022,casas,
399,"How can I best support my daughter Kimberly? Kim doesn't feel like I am supportive and that bothers me. Lord, help me do what is best for her. ", 29-Nov-2022,,family ,
400,Speedy recovery from the flu for Josh Kempf and his son , 28-Nov-2022, 02-Dec-2022,brothers and sisters ,
401,What about finding Brian Kidd?, 28-Nov-2022,,family ,
402,Help with the AAR charter at Casas Council meeting this evening. , 28-Nov-2022, 29-Nov-2022,,
403,Thank you Lord Jesus for my restoration of logseq data! Please keep me from losing data. , 28-Nov-2022, 06-Dec-2022,casas,
404,Help me be supportive and be there for Kim and Karli , 27-Nov-2022,,family ,
405,"Help Anthony get through withdrawal. Strengthen his mind, heart, and will.", 27-Nov-2022,,family ,
406,Help Karli as she changes her hairstyle , 27-Nov-2022, 10-Dec-2022,family ,
407,"Busy this week:  bocce sub, small group, Casas Council meeting, Casas Connection, hand and foot at our house, Oro Valley Art Fair. Lord Jesus, guide us and help us show You as we mingle with people. ", 27-Nov-2022, 05-Dec-2022,other,
408,"Casas Council meeting Monday. Lord Jesus, help us act productively especially with the Casas Christian School matter. ", 27-Nov-2022, 29-Nov-2022,,
409,Peace of mind and trust that You Lord will protect and guide Kim and Karli , 26-Nov-2022,,family ,
410,Preparing and smoking the turkey breast as well as everything else that we want to do , 24-Nov-2022, 25-Nov-2022,family ,
411,Hiking with Kris? , 24-Nov-2022, 25-Nov-2022,friends ,
412,Hiking with Jason?, 24-Nov-2022, 25-Nov-2022,family ,
413,Work in Anthony's heart and mind to heal and set him straight toward You , 24-Nov-2022,,family ,
414,Safety and peace for Kim and Karli , 24-Nov-2022,,family ,
415,"Lord, help me prepare for tomorrow's guests and provide whatever Robin wants.", 23-Nov-2022, 25-Nov-2022,family ,
416,"Lord, watch over Kimberly and Karli as they grapple with their circumstances. Keep them safe from every kind of evil and harm. Heal Anthony's mind and body, giving him the desire and strength to overcome his addictions. Show them the way through dealing with their RV and housing problems. Holy Spirit, come upon me as I ask for help and come upon them and those that are in position to help. ", 23-Nov-2022, 24-Feb-2023,family ,
417,Christmas at Casas. Bless all who participate in service delivery and all who attend., 22-Nov-2022, 07-Jan-2023,casas,
418,"Help me prepare for the next steps of the AAR; getting CCS background materials, meeting with Josh, Bob's role, team members, sponsors' engagement, board presentation ", 22-Nov-2022, 03-Dec-2022,casas,
419,"Lord, help me with my unbelief, increase my faith ", 22-Nov-2022,,me,
420,Smoke turkey and help Robin get ready and hosting Thanksgiving dinner , 21-Nov-2022, 25-Nov-2022,family ,
421,"Thanksgiving dinner with Laurie, Robert, Kris, and Lisa", 21-Nov-2022, 25-Nov-2022,family ,
422,Small group tomorrow , 21-Nov-2022, 23-Nov-2022,,
423,"Hiking with Kris, Kit, and Dave Weaver tomorrow ", 21-Nov-2022, 23-Nov-2022,,
424,Meeting with Myles Bingham today about the incident response AAR, 21-Nov-2022, 22-Nov-2022,casas ,
425,"Lord, give Kimberly, Karli, Ryan, and Savanna new hearts, and put new spirits in them. Take out their stony, stubborn hearts and give them tender, responsive hearts. And put Your Spirit in them so that they follow Your decrees and are careful to obey Your regulations. Ezekiel 36:26‭-‬27 NLT", 20-Nov-2022,,family ,
426,"Lord, You are honored and glorified during Thanksgiving dinner ", 19-Nov-2022, 25-Nov-2022,family ,
427,"Lord, be with Laurie and me as we volunteer for the Bioblitz this morning ", 19-Nov-2022, 20-Nov-2022,family ,
428,"Lord, heal Christopher's mind and body ", 18-Nov-2022, 25-Feb-2023,friends ,
429,"Lord, give me, Casas Council, and CCS leaders and staff wisdom as we deal with CCS incident response ", 18-Nov-2022, 01-Mar-2023,casas,
430,Foot massage?, 16-Nov-2022, 19-Nov-2022,,
431,Learn Python to create a user interface for my prayers? , 16-Nov-2022, 16-Dec-2022,me,
432,Talk to Glenn or Ryan about what I have heard about Wayne in ABFs and ABF leaders that do not attend Casas , 15-Nov-2022, 17-Jan-2023,casas,
433,Casas Council as they struggle to lead CCS appropriately through this difficult time , 15-Nov-2022, 01-Mar-2023,casas,
434,"What about this ""investigation"", Lord? What is best for CCS families and staff? What is our intention? Guide us and help us find the perfect person. ", 15-Nov-2022, 06-Dec-2022,casas,
435,"Josh and Katrina as they lead CCS through this difficult time, their healing and hearts", 15-Nov-2022, 14-Feb-2023,casas,
436,"Guide me as I prepare for the After Action Review; plan, charter, participants, leadership; I have a plan in mind about how to proceed based on the gifts You have given me, help me be humble and adjust it by deferring to Casas leadership and my fellow Casas Council members ", 15-Nov-2022, 03-Dec-2022,friends ,
437,"Jennifer and Greg Clark and their family, heal and protect them ", 15-Nov-2022, 14-Feb-2023,casas,
438,"God is with me. He is for me. He is above me. He is in me. He surrounds me: ‘the Lord surrounds his people’. Thank You, Lord.  ", 15-Nov-2022,,me,
439,"Lord,I expect You to do something wonderful at today's CCS parents meeting ", 14-Nov-2022, 18-Nov-2022,,
440,7 second website r.com homepage iteration , 14-Nov-2022, 19-Jan-2022,,
441,"If it is important, Lord, help me get across the idea that leadership owns process and process breakdowns ", 14-Nov-2022, 18-Dec-2022,casas,
442,Iteration of Ted's email series and posting it for Sarah's and Shawn's review , 14-Nov-2022, 01-Dec-2022,trc,
443,Increasing spend on Google Ad, 14-Nov-2022, 01-Dec-2022,trc,
444,"Lord, help me (us) be effective representing Casas and Casas Christian School as we meet with parents ", 12-Nov-2022, 22-Nov-2022,casas,
445,"Lord, help the families and their children of CCS deal with the allegations of abuse ", 12-Nov-2022, 14-Feb-2023,casas,
446,Sooth the families and their children during this time of upheaval at Casas Christian School. And the teachers and leaders. , 08-Nov-2022, 13-Feb-2023,casas,
447,7 Second Website work session coming up, 07-Nov-2022, 14-Nov-2022,,
448,"O Lord! Young David is in the hospital, heal and free his mind so he can chart a course for his life ", 07-Nov-2022, 10-Dec-2022,casas,
449,Deneena's ordination on Sunday, 06-Nov-2022, 13-Nov-2022,,
450,Walking the Turquoise Trail with Laurie, 06-Nov-2022, 13-Nov-2022,,
451,"Crown car show on Saturday, with Robert?", 06-Nov-2022, 13-Nov-2022,,
452,"Angie Barteau's career decisions, guide her", 06-Nov-2022, 14-Feb-2023,brothers and sisters ,
453,Alpha?, 06-Nov-2022,,me,
454,Ted Tibbetts, 06-Nov-2022, 19-Nov-2022,,
455,HSM trip to Rocky Point for Karli? Help me connect with Kim., 05-Nov-2022, 17-Jan-2023,family ,
456,"Watch over and bless Ryan, Amber, and their daughters Felicity and Harmony, especially as they go on sabbatical in Curacao ", 04-Nov-2022,,brothers and sisters ,
457,Robin's work with the Women's Ministry contribute much and reach  women of our church in a powerful way , 31-Oct-2022, 06-Dec-2022,robin ,
458,Help me see opportunities and do good, 30-Oct-2022,,me,
459,"Help us choose a Bible study, help me avoid judgemental thoughts", 30-Oct-2022, 19-Nov-2022,,
460,Camping with friends at Patagonia, 30-Oct-2022, 19-Nov-2022,,
461,Healing for my back surgery, 30-Oct-2022, 19-Nov-2022,,
462,A clear path to get Google Ads up and running, 29-Oct-2022, 22-Jan-2023,trc,
463,68 years old and still struggling with..., 23-Oct-2022,,me,
464,Use the pain and grief of those around me to bring them to you, 23-Oct-2022, 25-Feb-2023,friends ,
465,Friends for Laurie, 23-Oct-2022, 13-Feb-2023,family ,
466,"Lord, guide Kris as he deals with the passing of his father", 23-Oct-2022, 17-Jan-2023,friends ,
467,LS swap for a BMW E90?, 23-Oct-2022, 13-Feb-2023,me,
468,Peace and blessing for Kris and Chuck's family as they grieve, 23-Oct-2022, 17-Jan-2023,friends ,
469,"Come Holy Spirit, bless us today in Your service, bless everyone
 involved and those that come to worship and learn.

Tyler (Abby, Mason, McKenna), Rob (Barb), Rick, Crystal (JR), Zach, Gavin, Barb (Rob, David), Bill (Deneena), Robert, Melissa, Lake, Brittany, Able, Lissette, Ryan, Maggie, Nick, Holly (Scott), Jenny (Josh), Tyler, Josh, Dar, Piyali, Andrew, ", 23-Oct-2022,,brothers and sisters ,
470,"Lord, bring to You and bless Steve Ambrose, Jeannette, Brian, and Elana", 22-Oct-2022,,friends ,
471,"Bless Susan, Josh, Matt, and their families as they grieve the loss of Michael ", 22-Oct-2022, 22-Jan-2023,friends ,
472,"Lord, bless the children and families of Casas Christian School with spiritual growth toward You. ", 18-Oct-2022, 13-Feb-2023,casas,
473,"Lord, bring unity and stability to our nation so that many people come to know You. ", 18-Oct-2022,,nation ,
474,Healing for Frank's neck surgery, 16-Oct-2022, 13-Nov-2022,,
475,Help me refrain from judging and instead be loving, 16-Oct-2022,,me,
476,Video director?, 16-Oct-2022, 10-Dec-2022,me,
477,Find a writer to help us, 16-Oct-2022, 14-Nov-2022,,
478,Laurie connects with Cindy for Tucson Refugee Ministry, 15-Oct-2022, 13-Feb-2023,family ,
479,Somehow Kimberly's house offer goes through, 09-Oct-2022, 15-Jan-2023,family ,
480,Kimberly's settlement works out well for her, 09-Oct-2022, 30-Jan-2023,family ,
481,Praise! Strength and perseverance for Kim in being clean from drugs and alcohol, 08-Oct-2022, 13-Feb-2023,family ,
482,"Thank you, Lord, for my daughter Kimberly and Your love for me and my family", 05-Oct-2022,,family ,
483,Diane's retirement, 01-Oct-2022, 13-Feb-2023,brothers and sisters ,
484,Rehab Without Walls for David, 01-Oct-2022, 10-Dec-2022,brothers and sisters ,
485,"Cody, grandson of Booth and Nicki. Work in his heart and mind.", 01-Oct-2022,,brothers and sisters ,
486,A writer from our TLBE post that is perfect for our endeavors, 29-Sep-2022, 14-Nov-2022,,
487,Your will in the lives of Tim and Pam and their families, 29-Sep-2022,,family ,
488,"Your will in the lives of Jim, Stephanie, and Kalon and their families", 29-Sep-2022,,family ,
489,Safety for Jason as he trains and fights fires, 28-Sep-2022, 13-Feb-2023,family ,
490,My role and preparation for video director, 28-Sep-2022, 07-Feb-2023,me,
491,Safe travels for Pastor Ben and Melanie, 28-Sep-2022, 26-Dec-2022,brothers and sisters ,
492,"Lord, for what are you preparing me?", 25-Sep-2022, 25-Feb-2023,me,
493,Heal Pastor Ben and bring him and Mel home safely, 24-Sep-2022, 21-Dec-2022,brothers and sisters ,
494,"Lord, bless Tim and Pam and their families; come Holy Spirit upon them.", 16-Sep-2022,,family ,
495,"Lord, bless Dale and Mary and their families; come Holy Spirit upon them.", 16-Sep-2022,,brothers and sisters ,
496,"Lord, I am weak and powerless about Kim's housing situation; I depend on You to work this out! ", 12-Sep-2022, 13-Feb-2023,family ,
497,"Our river cruises, Lord, close the door if You are not approving", 11-Sep-2022, 27-Jan-2023,me,
498,Connect with Karli, 11-Sep-2022, 17-Feb-2023,family ,
499,"A Prayer of Praise
Father God, thank You that salvation belongs to You alone! You alone are worthy of all my praise and worship! You have — and You will — rescue and deliver me. So as I look forward to Jesus’s return, show me how I can join with Christians around the world in praising You, and celebrating Your great name.  Unify us around Your power and love. In Jesus’s name, amen.", 10-Sep-2022,,me,
500,"Come Holy Spirit into the mind of my daughter Kimberly and show her the way through her housing problems. Strengthen our relationship. Holy Spirit, I do not know how to pray for her and this situation so help us in a powerful way. ", 09-Sep-2022, 13-Feb-2023,family ,
501,Work in Philip Smith's life to bring about Your will, 04-Sep-2022,,friends ,
502,Bless Steve Baker and bring about Your will in his life, 04-Sep-2022,,friends ,
503,Work in the life of Chris Garber to bring about Your will, 04-Sep-2022,,friends ,
504,"Gaslight camp for Karli in 2023, Lord please work it out", 28-Aug-2022, 25-Mar-2023,family ,
505,How to make Casas Council meetings work effectively with Zoom, 21-Aug-2022, 19-Nov-2022,,
506,TLBE retrospective, 21-Aug-2022, 01-Dec-2022,,
507,Remember to enjoy every aspect of life today, 21-Aug-2022,,me,
508,Align the available resources so David can take advantage of them, 21-Aug-2022,,brothers and sisters ,
509,Strengthen and guide Dave and Cindy as they struggle with helping David, 17-Aug-2022,,brothers and sisters ,
510,"Guide David's thinking, work out the best thing for his life", 14-Aug-2022,,brothers and sisters ,
511,Give Dave and Cindy peace and guide their decisions for Your glory, 14-Aug-2022,,brothers and sisters ,
512,Refactoring our homepage and the Responsibility Scorecard, 31-Jul-2022, 13-Nov-2022,,
513,Heal my left Achilles tendon!, 31-Jul-2022, 01-Dec-2022,,
514,Healing for my Achilles tendon, 27-Jul-2022, 14-Nov-2022,,
515,Work in the heart of Greg Wexler to bring about Your will in his life, 27-Jul-2022, 25-Jan-2023,casas,
516,"GTM, GA4, Gads, and TLB Elite", 24-Jul-2022, 24-Dec-2022,trc,
517,Pastor Ben's devotional, 24-Jul-2022, 21-Dec-2022,me,
518,Preparation for and meeting of our small group, 17-Jul-2022, 19-Nov-2022,,
519,Diane's niece with thyroid cancer, 17-Jul-2022, 27-Jan-2023,brothers and sisters ,
520,Help me figure out Google Tag Manager, 17-Jul-2022, 21-Dec-2022,me,
521,New worship music leader for Casas, 17-Jul-2022, 04-Dec-2022,casas,
522,"Thank you, Lord Jesus, for my granddaughter Karli and Your work in her life", 12-Jul-2022, 08-Feb-2023,family ,
523,"The Lord is my shepherd; 
I shall not want. 

He makes me to lie down in green pastures; 
He leads me beside the still waters. 

He restores my soul; 
He leads me in the paths of righteousness For His name’s sake. 

Yea, though I walk through the valley of the shadow of death, I will fear no evil; 
For You are with me; 
Your rod and Your staff, they comfort me. 

You prepare a table before me in the presence of my enemies; 
You anoint my head with oil; 
My cup runs over. 

Surely goodness and mercy shall follow me all the days of my life; 
And I will dwell in the house of the Lord Forever.

Psalms 23:1‭-‬6 NKJV
https://bible.com/bible/114/psa.23.1-6.NKJV", 10-Jul-2022,,me,
524,How can I serve Robin today?, 10-Jul-2022,,robin,
525,Laurie and Robert would come to know You as Lord and Savior, 03-Jul-2022,,family ,
526,Health and protection from covid for Casas leadership and staff, 03-Jul-2022, 08-Feb-2023,casas,
527,"Move in Karli's heart today, drawing her to You", 03-Jul-2022,,family ,
528,Work through the worship team to reach people today, 03-Jul-2022, 21-Dec-2022,casas,
529,Linda's balance and posture, 26-Jun-2022, 08-Feb-2023,,
530,That Pastor Glenn prioritizes spiritual disciplines that protect his heart and mind from error, 26-Jun-2022, 13-Feb-2023,casas,
531,"Take delight in the Lord, and he will give you your heart’s desires. 
Commit everything you do to the Lord. Trust him, and he will help you. Psalms 37:4‭-‬5 NLT
Lord, I want to feel about my own life the same emotions that I feel when I observe others' situations. ", 26-Jun-2022,,me,
532,Basketball at Dove Mountain Park?, 25-Jun-2022, 13-Feb-2023,me,
533,"Lord, guide me to instrument the agile coach landing page", 19-Jun-2022, 24-Dec-2022,trc,
534,How much value are we really getting from TLB Elite?, 19-Jun-2022, 07-Dec-2022,trc,
535,How can I be an effective member of Casas Council?, 19-Jun-2022, 13-Feb-2023,me,
536,"Lord, give Kim wisdom to know right from wrong", 19-Jun-2022,,family ,
537,Guide Kim in her financial decision making, 19-Jun-2022, 11-Mar-2023,family ,
538,"Lord, guide Kim in her pursuit of buying a house", 19-Jun-2022, 13-Feb-2023,family ,
539,How do decisions of Casas Council persist?, 19-Jun-2022, 08-Feb-2023,casas,
540,Guide Pastor Glenn and protect him from every kind of immorality, 19-Jun-2022, 13-Feb-2023,casas,
541,Strength and healing for my elbows, 19-Jun-2022,,me,
542,"Come, Holy Spirit. Fulfill your promise among us again today.
Thank you that every time we pray, ‘Come, Holy Spirit,’ the Holy Spirit comes and we experience an increased sense of the presence of God among us. Help me to prioritise my time and enjoy your awesome presence with me. In Jesus's Name. ", 18-Jun-2022,,me,
543,"Lord, please give me wisdom and guidance as I talk to Kim about her doins", 16-Jun-2022, 13-Feb-2023,family ,
544,"Father God, please grant me wisdom in all these areas: 
1. decision making, 2. choosing and building a team, 3. delegation, 4. peacemaking, 5. insight and discernment, 6. pursuing God’s cause", 16-Jun-2022,,me,
545,Intimacy and spiritual growth for our small group, 12-Jun-2022,,brothers and sisters ,
546,Help me remember that which is important to Robin - preparing for guests, 12-Jun-2022,,me,
547,Safety for Karli while Kim is away, 05-Jun-2022,,family ,
548,Wayne Barteau and Carol Ann, 05-Jun-2022, 08-Feb-2023,brothers and sisters ,
549,"Lord, give Robin relief from her ailment", 05-Jun-2022, 11-Jan-2023,robin ,
550,Bless and guide Jenny Kempf in her role as worship team leader, 05-Jun-2022, 13-Feb-2023,casas,
551,How can I best support Robin?, 05-Jun-2022,,me,
552,Security at Casas Christian School?, 29-May-2022, 13-Feb-2023,casas,
553,"Frank, Cherrie, and Matt and Kaylee come to know You, Lord", 29-May-2022,,friends ,
554,"Mad Dog, Cara, Amy, and Adam come to know and accept You, Lord Jesus", 29-May-2022,,friends ,
555,Help me keep up my enthusiasm to complete Google Ads stuff, 29-May-2022, 24-Dec-2022,me,
556,Strength for today's hike, 29-May-2022, 17-Jan-2023,me,
557,Google Ads landing page, 29-May-2022, 24-Dec-2022,me,
558,Mike's arm improves and he finds activity, 29-May-2022, 24-Dec-2022,friends ,
559,"Mike, Lynn, Sarah, Brian, and their families come to know You, Lord", 29-May-2022, 22-Jan-2023,friends ,
560,"Mad Dog and his family, healing in their grief for the loss of Dina", 29-May-2022, 08-Feb-2023,friends ,
561,"Jeremy, Amy, Evelyn, and Andy come to know and  accept You, Lord Jesus", 20-May-2022,,family ,
562,"Lord, guide Pastor Glenn and his leadership team as they guide our church", 20-May-2022,,casas,
