prayer,create_date,answer_date,category,answer,display_count
Dropping the camper van off for repair, 06-Feb-2023, 10-Feb-2023,us,,
Small group meeting this week, 06-Feb-2023, 10-Feb-2023,small group,,
Casas Connection Wednesday, 06-Feb-2023, 09-Feb-2023,brothers and sisters,,
Hiking with Kit and taking his BMW to the shop Tuesday, 06-Feb-2023, 08-Feb-2023,friends,,
Steinklinkers this Tuesday, 06-Feb-2023, 08-Feb-2023,brothers and sisters,,
Schedule time for dance practice with Robin, 04-Feb-2023,,us,,
Help me understand how I attribute meaning to Robin's words and catch myself before I respond, 04-Feb-2023,,me,,
"Four wheeling today with Dave Weaver; keep us all safe, help me build my relationships", 04-Feb-2023, 05-Feb-2023,friends,,
Bless Giovanni as well as Ezra and Monique as they go through the adoption process, 03-Feb-2023,,brothers and sisters,,
Heal Abel from his gall bladder surgery, 03-Feb-2023, 17-Feb-2023,brothers and sisters,,
"Grant Anna relief from the pressures of her relationships and protect her children from negative influences, work everything out for their good", 03-Feb-2023,,brothers and sisters,,
Help me understand where I am at contextually amongst the fast moving details of the video camera streams, 03-Feb-2023, 06-Feb-2023,me,,
"Help me understand Flask through the training course, help me find and schedule the time", 02-Feb-2023,,me,,
Help me figure out all of the information requests that I have made to Josh and others, 02-Feb-2023, 03-Feb-2023,casas,,
Help me figure out my request for Brittany about past Casas Council policy approvals, 02-Feb-2023, 03-Feb-2023,casas,,
"Lord, guide me and our team in getting to end of job with harassment policy approval", 02-Feb-2023, 14-Feb-2023,casas,,
Gem and Mineral Show with Robin today. A date! May we have a great time together., 01-Feb-2023, 02-Feb-2023,us,,
Help me with a follow up conversation with Karli about what we talked about and a discussion about the meaning of love., 30-Jan-2023, 17-Feb-2023,family,,
Josh's and Myles's review of policy documents, 30-Jan-2023, 14-Feb-2023,casas,,
Linda's and Bob's recovery from covid, 30-Jan-2023, 19-Feb-2023,casas,,
Hiking with Kit Tuesday, 30-Jan-2023, 01-Feb-2023,me,,
Robin's colonoscopy today, 30-Jan-2023, 31-Jan-2023,robin,,
Video Director preparation and rehearsal this week, 30-Jan-2023, 06-Feb-2023,casas,,
Dermatologist appointment Wednesday, 30-Jan-2023, 02-Feb-2023,me,,
Next iteration of CCS policy documents, 30-Jan-2023, 07-Feb-2023,casas,,
Bob and Deneena reviewing policy documents, 29-Jan-2023, 04-Feb-2023,casas,,
Bless Christy as she grapples with being let go, 29-Jan-2023, 08-Apr-2023,casas,,
Giving Tuesday for Casas., 29-Nov-2022, 30-Nov-2022,casas,,
"I am feeling down, ever since last night after coming home from Christmas at Casas rehearsal. What's going on in me? I don't like being the video switcher because I am so isolated from what is happening in the sanctuary and from people. Kimberly not talking to me. Lack of physical contact with Robin. I have doubts about this Trico board thing. Long driving trip coming up. Is it Christmas time, remembering feelings about not ever having the ""perfect"" family in my life? The feeling of disconnect from family, friends, and people in general? Lord, help me understand what I am feeling and its source so I can take responsibility for pursuing what I want in this situation. Lord, You are an awesome God. I am trusting in You, that You are working everything out for my benefit despite how I feel at any given moment. I choose not to dwell in my feelings of fear, loneliness, grief, or sadness. For You are a great God, You are my God. Thank You, Lord Jesus.", 23-Dec-2022, 25-Dec-2022,me,,
Health and healing for Pastor Glenn so he can return to us, 27-Jan-2023, 30-Jan-2023,casas,,
Finish travel arrangements for river cruise, 27-Jan-2023, 23-Mar-2023,us,,
Permit to hike rim to rim, 27-Jan-2023,,me,,
Completing first draft of harassment policy, 27-Jan-2023, 29-Jan-2023,casas,,
Sending out Policy Team meeting minutes, 27-Jan-2023, 28-Jan-2023,casas,,
Visit Kim?, 27-Jan-2023,,us,,
Quickly repair damage to the camper van, 27-Jan-2023,,us,,
Feed the Children at OVCN, 27-Jan-2023, 12-Feb-2023,small group,,
Have the doors for the camper van been ordered?, 24-Jan-2023, 25-Jan-2023,us,,
Next step for Python project?, 24-Jan-2023, 02-Feb-2023,me,,
What shall I prepare for our small group meeting?, 24-Jan-2023, 27-Jan-2023,small group,,
Hiking Blackett's Ridge with Kit and Jason, 24-Jan-2023, 25-Jan-2023,friends,,
Invite Stacie and her husband Andy to our small group?, 23-Jan-2023, 10-Feb-2023,small group,,
Buraco with Bob and Linda on Saturday, 23-Jan-2023, 29-Jan-2023,friends,,
Hand and foot Friday at Brumberger's, 23-Jan-2023, 29-Jan-2023,friends,,
Casas Connection on Wednesday, 23-Jan-2023, 26-Jan-2023,small group,,
Help me prepare for our small group meeting on Thursday, 23-Jan-2023, 27-Jan-2023,small group,,
Dishwasher installation on Wednesday, 23-Jan-2023, 26-Jan-2023,us,,
Policy team meeting with Bob and Deneena Thursday afternoon, 23-Jan-2023, 29-Jan-2023,casas,,
Dentist this morning, 23-Jan-2023, 24-Jan-2023,me,,
Blackett's Ridge hike with Kit and Jason?, 23-Jan-2023, 24-Jan-2023,friends,,
Camping at Organ Pipe?, 21-Jan-2023, 26-Jan-2023,us,,
Hike to the bench with Kit and Jason, 21-Jan-2023, 22-Jan-2023,friends,,
Chef's knives for Karli?, 21-Jan-2023,,family,,
Barniminium for Kim, 20-Jan-2023, 29-Jan-2023,family,,
Camper van oil change, 20-Jan-2023, 04-Feb-2023,me,,
"P.E.S. dinner with Linda, Bob, Laurie, Robin on Friday", 20-Jan-2023, 18-Feb-2023,friends,,
Casas Council meeting on Sunday, 19-Jan-2023, 23-Jan-2023,casas,,
To Kill a Mockingbird play and dinner with Kit and Alison Saturday, 19-Jan-2023, 22-Jan-2023,friends,,
Connecting with Christopher and next steps, 19-Jan-2023, 25-Jan-2023,trc,,
Waterman Peak with Jason?, 19-Jan-2023, 21-Jan-2023,family,,
Pastor Ben's devotional for February, 19-Jan-2023, 12-Feb-2023,brothers and sisters,,
Casas Christian School policy analysis; what is the simplest thing?, 19-Jan-2023, 28-Jan-2023,casas,,
Worship team rehearsal tonight., 19-Jan-2023, 20-Jan-2023,casas,,
Help me connect with Myles and Bob regarding CC committee for CCS policy., 18-Jan-2023, 19-Jan-2023,casas,,
"Lord, give us joy this morning in the situation for getting the camper van fixed.", 18-Jan-2023, 19-Jan-2023,us,,
"Lord, make me comfortable and give me the words during my Trico interview this morning. May Your will be done in this situation and in my life. Thank You, Lord Jesus!", 18-Jan-2023, 19-Jan-2023,me,,
"Soothe the hearts of Sallie and Kevin Inch as they deal with the passing of their daughter Sarah. Lord, reveal Yourself to them and all who mourn with them.", 18-Jan-2023,,friends,,
Hike with Jason this morning. Guide us and keep us safe. What do we want to talk about?, 17-Jan-2023, 18-Jan-2023,family,,
"Thank You, Lord, for my phone conversation with Karli yesterday about drugs and addiction. Thank You for Kimberly being drug and alcohol free, and its example for Karli.", 17-Jan-2023, 30-Jan-2023,family,,
"Lord, thank You for Pastor Ryan and his sharing with us. Bless him and his family. Guard and keep his daughter as she navigates school.", 16-Jan-2023, 19-Jan-2023,brothers and sisters,,
Guide me and my feet as I hike in the wet this morning., 16-Jan-2023, 17-Jan-2023,me,,
Help me prepare my list in preparation for my Trico interview., 16-Jan-2023, 18-Jan-2023,me,,
"Lord, I cry out for my buddy Mike Smith, his wife Lynne, and his children Sarah and Brian and his family. You can change their lives. Help me stay in relationship and be friends, love them, and stay connected. Lord, please draw them to You and save them.", 16-Jan-2023,,friends,,
I want to worship You in Spirit and Truth today. May we glorify You. Work in the hearts and minds of people in the service today., 15-Jan-2023, 16-Jan-2023,casas,,
How can I connect with Karli to help her learn important truths? I think about that podcast about drug addiction. I think about sex and how it distorts relationship development. I think about the work that Karli will do for her life. I think about the Truth Your Word and how to get Karli to know You and understand., 15-Jan-2023, 17-Jan-2023,family,,
"Lord Jesus, help me with everything that I am doing this week. Unloading the van and getting it ready for the body shop. Working with Josh. Trico interview. Van damage inspection by Progressive. Trip to body shop. Worship Team rehearsal and stage captain.", 14-Jan-2023, 19-Jan-2023,me,,
"Feeling a bit strange, like I am getting ill. Lord, help me get over this quickly so I can attend to things. Thank You Lord.", 14-Jan-2023, 15-Jan-2023,me,,
Guide Josh and Casas through the process of ending Ahern's employment. Protect Casas and CCS from retaliation and lawsuit., 13-Jan-2023, 23-Jan-2023,casas,,
Bless and guide Mr. Ahern as he goes through the process of letting him go. Help him understand and accept., 13-Jan-2023, 23-Jan-2023,casas,,
Prepare me for my Trico interview. Give me the words. Give me confidence., 13-Jan-2023, 18-Jan-2023,me,,
Help me process the Trico reading material in preparation for my interview, 12-Jan-2023, 13-Jan-2023,me,,
Help me help Josh as we have our work session to plan for process Improvements., 12-Jan-2023, 18-Jan-2023,casas,,
"Help Christopher's efforts to find healing yield results, like his infrared sauna", 12-Jan-2023, 01-Mar-2023,friends,,
"Help Lauren, Matt, Tom, and Diane as they grieve the passing of Donna", 12-Jan-2023,,brothers and sisters,,
Safe travels and a great time visiting Shiner brewery, 11-Jan-2023, 12-Jan-2023,us,,
Bless Tom Avery with the finance job that he seeks, 11-Jan-2023, 10-Mar-2023,friends,,
Show Glenn's brother in law Matt the best way, 10-Jan-2023,,brothers and sisters,,
Guide Chandler to the place that You want him to be, 10-Jan-2023,,brothers and sisters,,
Guide Glenn and Angie in dealing with their brother in law Matt, 10-Jan-2023,,brothers and sisters,,
Lord help me give the best guidance to Kim about her housing steps, 10-Jan-2023, 17-Jan-2023,family,,
Lord help Casas hire the best financial person, 10-Jan-2023, 14-Mar-2023,casas,,
Help me communicate with Myles about the next steps for working with Josh, 10-Jan-2023, 11-Jan-2023,casas,,
Lord help Kim navigate through the maze of county and local government with her home building, 10-Jan-2023, 17-Apr-2023,family,,
Lord show Kim the way forward with the mobile home purchase, 10-Jan-2023, 11-Jan-2023,family,,
Help me recognize my triggers before they happen so I can understand what's going on in me and choose my response, 08-Jan-2023,,me,,
Planning for our trip for the river cruise, 07-Jan-2023, 27-Jan-2023,us,,
Safety and a great time together as we go to Winter Garden, 07-Jan-2023, 08-Jan-2023,none,,
Help Pastor Ben process my recommendation for freedom in Christ devotional, 07-Jan-2023, 11-Jan-2023,me,,
Give me the words and help me through the Trico interview process, 07-Jan-2023, 19-Jan-2023,me,,
"Lord, heal my nose bleeds", 07-Jan-2023,,me,,
Productive conversation with Kim about her feelings that I do not help her, 06-Jan-2023,,family,,
"Fixing the rear doors of the van, which body shop?", 06-Jan-2023, 14-Jan-2023,me,,
Christopher feels well enough to visit with us, 06-Jan-2023, 11-Jan-2023,friends,,
Safe travels home, 06-Jan-2023, 14-Jan-2023,us,,
"Casas Council meeting Monday ; help me report out in a meaningful way, give me a great Zoom connection", 06-Jan-2023, 11-Jan-2023,casas,,
"Bring Mike and Lynne and their family Sarah, Brian, and Courtney to You, Lord.", 01-Jan-2023,,friends,,
Keep us safe and healthy during our Florida trip, 22-Dec-2022, 14-Jan-2023,us,,
Keep the van operating well throughout our trip, 22-Dec-2022, 14-Jan-2023,us,,
Robin feels great throughout our travel to Florida and back, 22-Dec-2022, 14-Jan-2023,robin,,
Preparing the van and all else for our Florida trip, 22-Dec-2022, 01-Jan-2023,us,,
"Kris and Lisa, guide them to Christmas at Casas and do something amazing in their lives", 22-Dec-2022, 25-Dec-2022,friends,,
Petition signatures, 22-Dec-2022, 23-Dec-2022,me,,
Christmas at Casas rehearsal and service; bless and protect those that serve and those that attend. Bring many., 21-Dec-2022, 25-Dec-2022,casas,,
TRC strategy summary for Christopher in preparation for Kevin discussion, 21-Dec-2022, 22-Dec-2022,trc,,
January 2023 devotional, 21-Dec-2022, 07-Jan-2023,me,,
What is a good way to handle debug code?, 21-Dec-2022, 22-Dec-2022,me,,
Get Trico petition app working and get signers, 21-Dec-2022, 23-Dec-2022,me,,
Health and healing for Brittany's daughter (Elery?), 19-Dec-2022, 08-Apr-2023,brothers and sisters,,
My_Prayers next step : database?, 19-Dec-2022, 20-Dec-2022,me,,
"Driving to Orlando and meeting our friends Mike and Lynne, Christopher, and perhaps PB and Mel", 19-Dec-2022, 11-Jan-2023,us,,
"This week: visit with Jim and Diane, dinner with Kris, Christmas at Laurie's and Robert's (meeting new people), Christmas at Casas rehearsal and service, getting ready for trip to Orlando", 19-Dec-2022, 25-Dec-2022,friends,,
Safe travels and a great family visit for Diane., 18-Dec-2022, 22-Jan-2023,brothers and sisters,,
Apply to become a Trico board member?, 18-Dec-2022, 21-Dec-2022,me,,
Visit Pastor Ben and Mel while we are in Florida?, 18-Dec-2022, 03-Jan-2023,brothers and sisters,,
Safe travels and a meaningful time for Bob and Linda during their Christmas visit with their family., 18-Dec-2022, 14-Jan-2023,friends,,
"Bless Bob and Linda Placzcik and their family. Draw them to You, Lord Jesus.", 17-Dec-2022,,friends,,
Bob and Linda are coming over for baraco tonight! Help Bob and me with our change in strategy! May Robin and I reflect Your love in such a way that they want You., 17-Dec-2022, 18-Dec-2022,friends,,
David Lopez and his family, 16-Dec-2022, 02-Apr-2023,casas,,
"Jesus, help me get continuous integration working", 16-Dec-2022, 19-Dec-2022,me,,
"Instead, be kind to each other, tenderhearted, forgiving one another, just as God through Christ has forgiven you.Ephesians 4:32 NLThttps://bible.com/bible/116/eph.4.32.NLT I hurt my daughter Kimberly, acknowledge that and ask for her forgiveness", 16-Dec-2022, 17-Dec-2022,family,,
"Let the morning bring me word of your unfailing love, for I have put my trust in you. Show me the way I should go, for to you I entrust my life.Psalm 143:8 NIVhttps://psalm.bible/psalm-143-8 Jesus, guide me as I work with Casas Council and leadership to improve the incident response process.", 16-Dec-2022, 16-Feb-2023,casas,,
Guide Josh to grow in leadership abilities; use me to help him., 15-Dec-2022,,casas,,
Provide Myles with what he needs to be a great leader; use me to help him, 14-Dec-2022,,casas,,
Working with Josh to plan process improvements, 14-Dec-2022, 18-Jan-2023,casas,,
"Pain in my big toe, the ball of my right foot, what to do about it? Lord, guide me and heal me.", 13-Dec-2022, 21-Dec-2022,me,,
"Wisdom, clarity, and guidance for Myles as he leads the church team", 13-Dec-2022,,casas,,
"Lord Jesus, guide me as I seek to meet with Myles to talk about the CCS incident", 13-Dec-2022, 14-Dec-2022,casas,,
Sign up for HSM trip to Rocky Point?, 12-Dec-2022, 17-Jan-2023,family,,
Help me connect with Kim this week, 12-Dec-2022, 01-Jan-2023,family,,
"Sovereign Lord, thank You that You are in ultimate control of my life and of history. Thank You that through Jesus, I am assured of the ultimate triumph of good over evil. Help me to make a difference in Your plans to overcome evil with good.", 12-Dec-2022,,me,,
"Help me love people as the intention for this week's activities: CCS AAR, Tucson Botanical Garden visit with Laurie and Robert, worship team Sunday rehearsal, Christmas at Casas rehearsal, small group dinner and study, creative cooking", 12-Dec-2022, 19-Dec-2022,me,,
Help me prepare for video directing this week, 12-Dec-2022, 18-Dec-2022,casas,,
Drive to visit Kimberly and help her with the new RV?, 12-Dec-2022, 18-Dec-2022,family,,
"How do I show Kimberly that I love and support her? Lord, guide me to show Kimberly that I love her. Help Kimberly know that. It feels like I have to earn Kimberly's love, that it is conditional, based upon meeting her expectations.", 12-Dec-2022,,me,,
"First video director assignment, Lord, help me!", 10-Dec-2022, 19-Dec-2022,me,,
New campaign for sending coping-to-thriving emails, 07-Dec-2022, 14-Dec-2022,trc,,
Restart dance practice with Robin?, 05-Dec-2022,,robin,,
"Much going on this week. Hiking with Laurie, Dave Weaver, Kit, Mavericks at the Fox, 4th Avenue Street Fair, TRC work, camera 1 for Christmas at Casas, collaboration with Christopher and Kevin, eye doctor, Cindy's knee surgery. Lord, help me love.", 05-Dec-2022, 12-Dec-2022,me,,
My hike today with Laurie. Talk about love and what is going on in our church., 05-Dec-2022, 06-Dec-2022,family,,
"Holy Spirit, come upon Eliot and Kathy Brumberger and show them who Jesus is", 04-Dec-2022,,friends,,
"Holy Spirit, come upon Dave and Kathy Weaver and show them who Jesus is", 04-Dec-2022,,friends,,
What is my vision for the next phase of my life? For what has God prepared me?, 03-Dec-2022,,me,,
Schedule and conduct of CCS AAR, 03-Dec-2022, 13-Dec-2022,casas,,
Replacing slings on patio chairs, 03-Dec-2022, 09-Mar-2023,me,,
Diane's elderly friend, 03-Dec-2022, 27-Jan-2023,brothers and sisters,,
"Health, joy, and protection for Josh and Jenny Kempf and their family Embry (5), Haven (11), and Asher (13)", 02-Dec-2022,,brothers and sisters,,
Meeting Sunday for new cameras. Help us understand that this is all about You., 01-Dec-2022, 06-Dec-2022,casas,,
Small group dinner and fellowship tomorrow evening, 01-Dec-2022, 03-Dec-2022,brothers and sisters,,
Prepare and be with Cindy and her doctors for knee replacement surgery, 01-Dec-2022, 08-Dec-2022,brothers and sisters,,
Bring in a part time school counselor?, 29-Nov-2022, 23-Jan-2023,casas,,
"Help me devise a plan for addressing the organizational problems of CCS. Can ACSI help do an organizational review? How do we build trust between school leadership, teachers, and students?", 29-Nov-2022, 23-Jan-2023,casas,,
My meeting with Josh Kempf to finalize the AAR plan and schedule. Ask Josh how I can best help him., 29-Nov-2022, 03-Dec-2022,casas,,
"How can I best support my daughter Kimberly? Kim doesn't feel like I am supportive and that bothers me. Lord, help me do what is best for her.", 29-Nov-2022,,family,,
Speedy recovery from the flu for Josh Kempf and his son, 28-Nov-2022, 02-Dec-2022,brothers and sisters,,
What about finding Brian Kidd?, 28-Nov-2022,,family,,
Help with the AAR charter at Casas Council meeting this evening., 28-Nov-2022, 29-Nov-2022,none,,
Thank you Lord Jesus for my restoration of logseq data! Please keep me from losing data., 28-Nov-2022, 06-Dec-2022,casas,,
Help me be supportive and be there for Kim and Karli, 27-Nov-2022,,family,,
"Help Anthony get through withdrawal. Strengthen his mind, heart, and will.", 27-Nov-2022, 08-Apr-2023,family,,
Help Karli as she changes her hairstyle, 27-Nov-2022, 10-Dec-2022,family,,
"Busy this week: bocce sub, small group, Casas Council meeting, Casas Connection, hand and foot at our house, Oro Valley Art Fair. Lord Jesus, guide us and help us show You as we mingle with people.", 27-Nov-2022, 05-Dec-2022,other,,
"Casas Council meeting Monday. Lord Jesus, help us act productively especially with the Casas Christian School matter.", 27-Nov-2022, 29-Nov-2022,none,,
Peace of mind and trust that You Lord will protect and guide Kim and Karli, 26-Nov-2022,,family,,
Preparing and smoking the turkey breast as well as everything else that we want to do, 24-Nov-2022, 25-Nov-2022,family,,
Hiking with Kris?, 24-Nov-2022, 25-Nov-2022,friends,,
Hiking with Jason?, 24-Nov-2022, 25-Nov-2022,family,,
Work in Anthony's heart and mind to heal and set him straight toward You, 24-Nov-2022,,family,,
Safety and peace for Kim and Karli, 24-Nov-2022,,family,,
"Lord, help me prepare for tomorrow's guests and provide whatever Robin wants.", 23-Nov-2022, 25-Nov-2022,family,,
"Lord, watch over Kimberly and Karli as they grapple with their circumstances. Keep them safe from every kind of evil and harm. Heal Anthony's mind and body, giving him the desire and strength to overcome his addictions. Show them the way through dealing with their RV and housing problems. Holy Spirit, come upon me as I ask for help and come upon them and those that are in position to help.", 23-Nov-2022, 24-Feb-2023,family,,
Christmas at Casas. Bless all who participate in service delivery and all who attend., 22-Nov-2022, 07-Jan-2023,casas,,
"Help me prepare for the next steps of the AAR; getting CCS background materials, meeting with Josh, Bob's role, team members, sponsors' engagement, board presentation", 22-Nov-2022, 03-Dec-2022,casas,,
"Lord, help me with my unbelief, increase my faith", 22-Nov-2022,,me,,
Smoke turkey and help Robin get ready and hosting Thanksgiving dinner, 21-Nov-2022, 25-Nov-2022,family,,
"Thanksgiving dinner with Laurie, Robert, Kris, and Lisa", 21-Nov-2022, 25-Nov-2022,family,,
Small group tomorrow, 21-Nov-2022, 23-Nov-2022,none,,
"Hiking with Kris, Kit, and Dave Weaver tomorrow", 21-Nov-2022, 23-Nov-2022,none,,
Meeting with Myles Bingham today about the incident response AAR, 21-Nov-2022, 22-Nov-2022,casas,,
"Lord, give Kimberly, Karli, Ryan, and Savanna new hearts, and put new spirits in them. Take out their stony, stubborn hearts and give them tender, responsive hearts. And put Your Spirit in them so that they follow Your decrees and are careful to obey Your regulations. Ezekiel 36:26‭-‬27 NLT", 20-Nov-2022,,family,,
"Lord, You are honored and glorified during Thanksgiving dinner", 19-Nov-2022, 25-Nov-2022,family,,
"Lord, be with Laurie and me as we volunteer for the Bioblitz this morning", 19-Nov-2022, 20-Nov-2022,family,,
"Lord, heal Christopher's mind and body", 18-Nov-2022, 25-Feb-2023,friends,,
"Lord, give me, Casas Council, and CCS leaders and staff wisdom as we deal with CCS incident response", 18-Nov-2022, 01-Mar-2023,casas,,
Foot massage?, 16-Nov-2022, 19-Nov-2022,none,,
Learn Python to create a user interface for my prayers?, 16-Nov-2022, 16-Dec-2022,me,,
Talk to Glenn or Ryan about what I have heard about Wayne in ABFs and ABF leaders that do not attend Casas, 15-Nov-2022, 17-Jan-2023,casas,,
Casas Council as they struggle to lead CCS appropriately through this difficult time, 15-Nov-2022, 01-Mar-2023,casas,,
"What about this ""investigation"", Lord? What is best for CCS families and staff? What is our intention? Guide us and help us find the perfect person.", 15-Nov-2022, 06-Dec-2022,casas,,
"Josh and Katrina as they lead CCS through this difficult time, their healing and hearts", 15-Nov-2022, 14-Feb-2023,casas,,
"Guide me as I prepare for the After Action Review; plan, charter, participants, leadership; I have a plan in mind about how to proceed based on the gifts You have given me, help me be humble and adjust it by deferring to Casas leadership and my fellow Casas Council members", 15-Nov-2022, 03-Dec-2022,friends,,
"Jennifer and Greg Clark and their family, heal and protect them", 15-Nov-2022, 14-Feb-2023,casas,,
"God is with me. He is for me. He is above me. He is in me. He surrounds me: ‘the Lord surrounds his people’. Thank You, Lord.  ", 15-Nov-2022,,me,,
"Lord,I expect You to do something wonderful at today's CCS parents meeting", 14-Nov-2022, 18-Nov-2022,none,,
7 second website r.com homepage iteration, 14-Nov-2022, 19-Jan-2022,none,,
"If it is important, Lord, help me get across the idea that leadership owns process and process breakdowns", 14-Nov-2022, 18-Dec-2022,casas,,
Iteration of Ted's email series and posting it for Sarah's and Shawn's review, 14-Nov-2022, 01-Dec-2022,trc,,
Increasing spend on Google Ad, 14-Nov-2022, 01-Dec-2022,trc,,
"Lord, help me (us) be effective representing Casas and Casas Christian School as we meet with parents", 12-Nov-2022, 22-Nov-2022,casas,,
"Lord, help the families and their children of CCS deal with the allegations of abuse", 12-Nov-2022, 14-Feb-2023,casas,,
Sooth the families and their children during this time of upheaval at Casas Christian School. And the teachers and leaders., 08-Nov-2022, 13-Feb-2023,casas,,
7 Second Website work session coming up, 07-Nov-2022, 14-Nov-2022,none,,
"O Lord! Young David is in the hospital, heal and free his mind so he can chart a course for his life", 07-Nov-2022, 10-Dec-2022,casas,,
Deneena's ordination on Sunday, 06-Nov-2022, 13-Nov-2022,none,,
Walking the Turquoise Trail with Laurie, 06-Nov-2022, 13-Nov-2022,none,,
"Crown car show on Saturday, with Robert?", 06-Nov-2022, 13-Nov-2022,none,,
"Angie Barteau's career decisions, guide her", 06-Nov-2022, 14-Feb-2023,brothers and sisters,,
Alpha?, 06-Nov-2022,,me,,
Ted Tibbetts, 06-Nov-2022, 19-Nov-2022,none,,
HSM trip to Rocky Point for Karli? Help me connect with Kim., 05-Nov-2022, 17-Jan-2023,family,,
"Watch over and bless Ryan, Amber, and their daughters Felicity and Harmony, especially as they go on sabbatical in Curacao", 04-Nov-2022,,brothers and sisters,,
Robin's work with the Women's Ministry contribute much and reach women of our church in a powerful way, 31-Oct-2022, 06-Dec-2022,robin,,
Help me see opportunities and do good, 30-Oct-2022,,me,,
"Help us choose a Bible study, help me avoid judgemental thoughts", 30-Oct-2022, 19-Nov-2022,none,,
Camping with friends at Patagonia, 30-Oct-2022, 19-Nov-2022,none,,
Healing for my back surgery, 30-Oct-2022, 19-Nov-2022,none,,
A clear path to get Google Ads up and running, 29-Oct-2022, 22-Jan-2023,trc,,
68 years old and still struggling with..., 23-Oct-2022,,me,,
Use the pain and grief of those around me to bring them to you, 23-Oct-2022, 25-Feb-2023,friends,,
Friends for Laurie, 23-Oct-2022, 13-Feb-2023,family,,
"Lord, guide Kris as he deals with the passing of his father", 23-Oct-2022, 17-Jan-2023,friends,,
LS swap for a BMW E90?, 23-Oct-2022, 13-Feb-2023,me,,
Peace and blessing for Kris and Chuck's family as they grieve, 23-Oct-2022, 17-Jan-2023,friends,,
"Come Holy Spirit, bless us today in Your service, bless everyone
involved and those that come to worship and learn.
Tyler (Abby, Mason, McKenna), Rob (Barb), Rick, Crystal (JR), Zach, Gavin, Barb (Rob, David), Bill (Deneena), Robert, Melissa, Lake, Brittany, Able, Lissette, Ryan, Maggie, Nick, Holly (Scott), Jenny (Josh), Tyler, Josh, Dar, Piyali, Andrew,", 23-Oct-2022, 05-Apr-2023,brothers and sisters,,
"Lord, bring to You and bless Steve Ambrose, Jeannette, Brian, and Elana", 22-Oct-2022,,friends,,
"Bless Susan, Josh, Matt, and their families as they grieve the loss of Michael", 22-Oct-2022, 22-Jan-2023,friends,,
"Lord, bless the children and families of Casas Christian School with spiritual growth toward You.", 18-Oct-2022, 13-Feb-2023,casas,,
"Lord, bring unity and stability to our nation so that many people come to know You.", 18-Oct-2022,,nation,,
Healing for Frank's neck surgery, 16-Oct-2022, 13-Nov-2022,none,,
Help me refrain from judging and instead be loving, 16-Oct-2022,,me,,
Video director?, 16-Oct-2022, 10-Dec-2022,me,,
Find a writer to help us, 16-Oct-2022, 14-Nov-2022,none,,
Laurie connects with Cindy for Tucson Refugee Ministry, 15-Oct-2022, 13-Feb-2023,family,,
Somehow Kimberly's house offer goes through, 09-Oct-2022, 15-Jan-2023,family,,
Kimberly's settlement works out well for her, 09-Oct-2022, 30-Jan-2023,family,,
Praise! Strength and perseverance for Kim in being clean from drugs and alcohol, 08-Oct-2022, 13-Feb-2023,family,,
"Thank you, Lord, for my daughter Kimberly and Your love for me and my family", 05-Oct-2022,,family,,
Diane's retirement, 01-Oct-2022, 13-Feb-2023,brothers and sisters,,
Rehab Without Walls for David, 01-Oct-2022, 10-Dec-2022,brothers and sisters,,
"Cody, grandson of Booth and Nicki. Work in his heart and mind.", 01-Oct-2022,,brothers and sisters,,
A writer from our TLBE post that is perfect for our endeavors, 29-Sep-2022, 14-Nov-2022,none,,
Your will in the lives of Tim and Pam and their families, 29-Sep-2022,,family,,
"Your will in the lives of Jim, Stephanie, and Kalon and their families", 29-Sep-2022,,family,,
Safety for Jason as he trains and fights fires, 28-Sep-2022, 13-Feb-2023,family,,
My role and preparation for video director, 28-Sep-2022, 07-Feb-2023,me,,
Safe travels for Pastor Ben and Melanie, 28-Sep-2022, 26-Dec-2022,brothers and sisters,,
"Lord, for what are you preparing me?", 25-Sep-2022, 25-Feb-2023,me,,
Heal Pastor Ben and bring him and Mel home safely, 24-Sep-2022, 21-Dec-2022,brothers and sisters,,
"Lord, bless Tim and Pam and their families; come Holy Spirit upon them.", 16-Sep-2022,,family,,
"Lord, bless Dale and Mary and their families; come Holy Spirit upon them.", 16-Sep-2022,,brothers and sisters,,
"Lord, I am weak and powerless about Kim's housing situation; I depend on You to work this out!", 12-Sep-2022, 13-Feb-2023,family,,
"Our river cruises, Lord, close the door if You are not approving", 11-Sep-2022, 27-Jan-2023,me,,
Connect with Karli, 11-Sep-2022, 17-Feb-2023,family,,
"A Prayer of Praise
Father God, thank You that salvation belongs to You alone! You alone are worthy of all my praise and worship! You have — and You will — rescue and deliver me. So as I look forward to Jesus’s return, show me how I can join with Christians around the world in praising You, and celebrating Your great name. Unify us around Your power and love. In Jesus’s name, amen.", 10-Sep-2022,,me,,
"Come Holy Spirit into the mind of my daughter Kimberly and show her the way through her housing problems. Strengthen our relationship. Holy Spirit, I do not know how to pray for her and this situation so help us in a powerful way.", 09-Sep-2022, 13-Feb-2023,family,,
Work in Philip Smith's life to bring about Your will, 04-Sep-2022,,friends,,
Bless Steve Baker and bring about Your will in his life, 04-Sep-2022,,friends,,
Work in the life of Chris Garber to bring about Your will, 04-Sep-2022,,friends,,
"Gaslight camp for Karli in 2023, Lord please work it out", 28-Aug-2022, 25-Mar-2023,family,,
